url,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
https://bj.lianjia.com/chengjiao/101084782030.html,1.01085E+11,116.475489,40.01952,1.11103E+12,09/08/2016,1464,106,415,31680,131,2,1,1,1,∏ﬂ 26,1,2005,3,6,0.217,1,0,1,7,56021
https://bj.lianjia.com/chengjiao/101086012217.html,1.01086E+11,116.453917,39.881534,1.11103E+12,28/07/2016,903,126,575,43436,132.38,2,2,1,2,∏ﬂ 22,1,2004,4,6,0.667,1,1,0,7,71539
https://bj.lianjia.com/chengjiao/101086041636.html,1.01086E+11,116.561978,39.877145,1.11104E+12,11/12/2016,1271,48,1030,52021,198,3,2,1,3,÷– 4,4,2005,3,6,0.5,1,0,0,7,48160
https://bj.lianjia.com/chengjiao/101086406841.html,1.01086E+11,116.43801,40.076114,1.11104E+12,30/09/2016,965,138,297.5,22202,134,3,1,1,1,µ◊ 21,1,2008,1,6,0.273,1,0,0,6,51238
https://bj.lianjia.com/chengjiao/101086920653.html,1.01087E+11,116.428392,39.886229,1.11103E+12,28/08/2016,927,286,392,48396,81,2,1,1,1,÷– 6,4,1960,2,2,0.333,0,1,1,1,62588
https://bj.lianjia.com/chengjiao/101087277815.html,1.01087E+11,116.46628,39.991363,1.11103E+12,22/07/2016,861,57,275.6,52000,53,1,0,1,1,÷– 8,4,2005,3,6,0.333,1,1,0,7,67738
https://bj.lianjia.com/chengjiao/101087292623.html,1.01087E+11,116.482586,39.891991,1.11103E+12,14/07/2016,851,167,275,37672,73,2,1,1,1,∏ﬂ 6,4,1997,4,2,0.5,0,0,0,7,50112
https://bj.lianjia.com/chengjiao/101087303800.html,1.01087E+11,116.453917,39.881534,1.11103E+12,07/09/2016,904,138,800,49521,161.55,3,2,1,2,∏ﬂ 22,1,2004,4,6,0.667,1,1,0,7,71539
https://bj.lianjia.com/chengjiao/101087463212.html,1.01087E+11,116.555729,40.162058,1.11103E+12,04/09/2016,873,218,134,27917,48,1,0,1,1,∏ﬂ 10,3,2009,1,2,0.333,0,0,0,13,44235
https://bj.lianjia.com/chengjiao/101087508625.html,1.01088E+11,116.453086,39.898397,1.11103E+12,05/09/2016,865,134,380,55883,68,1,0,0,0,÷– 23,1,2009,4,6,0.308,1,1,1,1,78590
